Theme	ParentTheme	Domain	Tags	RelatedThemes	Definition	Example
coping with being tortured	coping with danger	the human condition			Someone is subjected to cruel, painful and deliberate mistreatment against their will.	Captain Picard coped with extreme physical and psychological torture in tng6x11 “Chain of Command, Part II”.
coping with suicide	coping with death	the human condition			Someone experiences losing a near and dear one to suicide. Alternatively, in a creative sci-fi story, they could possibly cope with the ramifications of their own suicide.	"The crew was shocked and bereaved at the suicide of their fellow crewman Daniel Kwan in tng7x18 ""Eye of the Beholder""."
coping with the death of a child	coping with death	the human condition			Someone grieves over the loss of their child.	Lwaxana mourned the death of her daughter Kestra in tng7x07 “Dark Page”.
coping with the death of a colleague	coping with death	the human condition			Someone grieves after a colleague has passed away.	
coping with the death of a fellow compatriot	coping with death	the human condition			Someone grieves over the death of a fellow countryman who they, for example, share nationality or common cause with.	Worf coped with the death of a renegade Klingon compatriot by unleashing a thunderous death howl in tng1x20 “Heart of Glory”.
coping with the death of a fiancée	coping with death	the human condition			Someone grieves over the loss of their fiancée.	Angela Martine's fiancée Robert Tomlinson died after inhaling lethal quantities of phaser coolant in tos1x08 “Balance of Terror”.
coping with the death of a friend	coping with death	the human condition			Someone grieves over the death of a friend.	McCoy mourned Captain Kirk after he was pulled into interspace in tos3x09 “The Tholian Web”.
coping with the death of a grandparent	coping with death	the human condition			Someone grieves over the death of a grandparent. 	Beverly attended the funeral of her grandmother Felisa Howard on Caldos II in tng7x14 “Sub Rosa”.
coping with the death of a lover	coping with death	the human condition			Someone grieves over the death of a lover. 	Captain Kirk cried on Spock’s shoulder, after he had knowingly allowed his lover Edith Keeler to die, in tos1x28 “The City on the Edge of Forever”.
coping with the death of a parent	coping with death	the human condition			Someone (typically a child) grieves over the loss of a parent.	Jeremy Aster was racked with guilt in tng3x05 “The Bonding” for falsely thinking that he was responsible for the death of his parents.
coping with the death of a pet	coping with death	the human condition		kiling an injured pet	Someone grieves over the loss of their pet.	Spock mourned the loss of his pet sehlat in tas1x02 “Yesteryear”.
coping with the death of a sibling	coping with death	the human condition			Someone grieves over the death of a sibling.	Rabal mourned the loss of his sister, and fellow environmental activist, Serova in tng7x09 “Forces of Nature”. 
coping with the death of a spouse	coping with death	the human condition			Someone grieves over the loss of their spouse.	Worf howled over the body of his murdered spouse K'Ehleyr in tng4x07 “Reunion”.
